Distance,Cross level,Curvature,Lateral,Vertical,Gauge
17.5,1.403,0.016,-0.207,-4.092,-0.5
17.75,1.305,0.017,-0.349,-3.886,-0.349
18.0,1.206,0.018,-0.49,-3.68,-0.197
18.25,1.038,0.019,-0.564,-3.651,-0.095
18.5,0.87,0.02,-0.638,-3.622,0.008
18.75,0.676,0.019,-0.669,-3.675,-0.048
19.0,0.483,0.018,-0.7,-3.729,-0.103
19.25,0.304,0.018,-0.728,-3.768,0.024
19.5,0.126,0.018,-0.756,-3.807,0.15
19.75,-0.004,0.018,-0.682,-3.708,0.15
20.0,-0.134,0.018,-0.609,-3.608,0.15
20.25,-0.163,0.018,-0.484,-3.372,0.255
20.5,-0.193,0.018,-0.36,-3.137,0.361
20.75,-0.149,0.018,-0.304,-2.751,0.251
21.0,-0.105,0.018,-0.248,-2.366,0.141
21.25,-0.015,0.014,-0.346,-1.963,0.156
21.5,0.076,0.009,-0.443,-1.559,0.172
21.75,0.048,0.009,-0.606,-1.23,0.039
22.0,0.02,0.009,-0.768,-0.901,-0.093
22.25,-0.244,0.009,-0.657,-0.597,-0.136
22.5,-0.507,0.009,-0.546,-0.293,-0.178
22.75,-0.77,0.008,-0.437,0.275,-0.04
23.0,-1.033,0.006,-0.328,0.843,0.097
23.25,-1.223,0.006,-0.404,1.536,0.107
23.5,-1.413,0.005,-0.48,2.23,0.117
23.75,-1.447,0.005,-0.462,3.028,0.202
24.0,-1.48,0.005,-0.444,3.827,0.288
24.25,-1.542,0.005,-0.459,4.578,0.34
24.5,-1.603,0.005,-0.475,5.328,0.391
24.75,-1.625,0.005,-0.459,5.953,0.448
25.0,-1.646,0.005,-0.444,6.578,0.505
25.25,-1.75,0.005,-0.319,7.018,0.62
25.5,-1.854,0.006,-0.193,7.457,0.734
25.75,-2.055,0.006,-0.137,7.669,0.819
26.0,-2.257,0.006,-0.082,7.881,0.904
26.25,-2.223,0.005,-0.092,8.049,0.823
26.5,-2.189,0.004,-0.103,8.218,0.742
26.75,-2.098,0.004,-0.149,8.181,0.757
27.0,-2.008,0.004,-0.196,8.144,0.772
27.25,-1.981,0.004,-0.152,7.858,0.8
27.5,-1.955,0.004,-0.108,7.572,0.828
27.75,-1.953,0.003,0.069,7.273,0.794
28.0,-1.952,0.001,0.246,6.975,0.76
28.25,-2.028,-0.003,0.192,6.787,0.862
28.5,-2.104,-0.008,0.137,6.599,0.964
28.75,-2.064,-0.008,0.064,6.691,1.049
29.0,-2.024,-0.008,-0.01,6.784,1.134
29.25,-1.919,-0.008,-0.051,6.925,1.132
29.5,-1.813,-0.008,-0.092,7.065,1.129
29.75,-1.724,-0.008,-0.167,7.141,1.074
30.0,-1.633,-0.008,-0.242,7.217,1.018
30.25,-1.687,-0.008,-0.275,7.185,0.915
30.5,-1.742,-0.007,-0.307,7.153,0.812
30.75,-1.849,-0.007,-0.265,7.047,1.039
31.0,-1.957,-0.007,-0.223,6.942,1.266
31.25,-1.949,-0.006,-0.19,6.867,1.298
31.5,-1.942,-0.005,-0.158,6.793,1.329
31.75,-1.881,-0.005,-0.275,6.802,1.525
32.0,-1.819,-0.005,-0.393,6.811,1.721
32.25,-1.603,-0.005,-0.625,6.689,1.675
32.5,-1.387,-0.005,-0.857,6.566,1.628
32.75,-1.167,-0.006,-1.035,6.387,1.387
33.0,-0.948,-0.007,-1.213,6.208,1.145
33.25,-0.853,-0.008,-1.171,6.134,1.225
33.5,-0.759,-0.008,-1.128,6.059,1.305
33.75,-0.634,-0.008,-1.219,5.956,1.151
34.0,-0.509,-0.008,-1.311,5.852,0.997
34.25,-0.41,-0.008,-1.282,5.619,0.726
34.5,-0.311,-0.008,-1.253,5.385,0.456
34.75,-0.28,-0.008,-1.408,4.876,0.143
35.0,-0.247,-0.008,-1.564,4.367,-0.17
35.25,-0.252,-0.009,-1.685,3.689,-0.491
35.5,-0.257,-0.009,-1.805,3.01,-0.813
35.75,-0.32,-0.009,-1.77,2.349,-0.767
36.0,-0.383,-0.009,-1.734,1.688,-0.721
36.25,-0.491,-0.008,-1.579,1.12,-0.672
36.5,-0.599,-0.006,-1.424,0.553,-0.623
36.75,-0.749,-0.006,-1.234,0.227,-0.492
37.0,-0.898,-0.006,-1.044,-0.098,-0.362
37.25,-0.902,-0.006,-1.084,-0.282,-0.331
37.5,-0.906,-0.006,-1.123,-0.466,-0.299
37.75,-0.851,-0.006,-1.238,-0.665,-0.518
38.0,-0.795,-0.006,-1.353,-0.864,-0.737
38.25,-0.589,-0.005,-1.347,-0.973,-0.711
38.5,-0.382,-0.004,-1.342,-1.081,-0.685
38.75,-0.218,-0.004,-1.352,-1.275,-0.77
39.0,-0.055,-0.004,-1.363,-1.469,-0.854
39.25,0.07,-0.004,-1.181,-1.78,-1.077
39.5,0.194,-0.004,-1.0,-2.09,-1.3
39.75,0.303,-0.004,-1.054,-2.57,-1.481
40.0,0.414,-0.004,-1.109,-3.049,-1.663
40.25,0.454,-0.006,-1.147,-3.721,-1.88
40.5,0.495,-0.008,-1.185,-4.392,-2.097
40.75,0.487,-0.008,-1.176,-5.097,-2.066
41.0,0.479,-0.008,-1.167,-5.803,-2.034
41.25,0.351,-0.007,-1.112,-6.46,-2.014
41.5,0.223,-0.006,-1.057,-7.116,-1.994
41.75,0.185,-0.006,-0.859,-7.562,-1.983
42.0,0.147,-0.006,-0.66,-8.008,-1.972
42.25,0.072,-0.006,-0.423,-8.194,-2.026
42.5,-0.003,-0.006,-0.186,-8.38,-2.081
42.75,-0.085,-0.006,-0.192,-8.428,-2.273
43.0,-0.167,-0.006,-0.198,-8.476,-2.465
43.25,-0.087,-0.005,-0.036,-8.453,-2.586
43.5,-0.007,-0.004,0.126,-8.43,-2.708
43.75,-0.085,-0.004,0.296,-8.32,-2.771
44.0,-0.163,-0.004,0.466,-8.21,-2.834
44.25,-0.224,-0.004,0.566,-7.995,-2.868
44.5,-0.285,-0.004,0.666,-7.78,-2.903
44.75,-0.323,-0.004,0.877,-7.412,-2.596
45.0,-0.36,-0.004,1.087,-7.043,-2.29
45.25,-0.441,-0.008,1.067,-6.749,-2.055
45.5,-0.523,-0.011,1.046,-6.456,-1.821
45.75,-0.392,-0.011,1.103,-6.095,-1.824
46.0,-0.262,-0.011,1.159,-5.734,-1.827
46.25,-0.13,-0.011,1.083,-5.578,-1.857
46.5,0.003,-0.011,1.007,-5.422,-1.886
46.75,0.223,-0.011,1.045,-5.288,-2.057
47.0,0.443,-0.011,1.083,-5.154,-2.229
47.25,0.512,-0.011,1.095,-4.869,-2.254
47.5,0.581,-0.011,1.106,-4.585,-2.279
47.75,0.562,-0.011,1.047,-4.27,-2.142
48.0,0.543,-0.011,0.989,-3.955,-2.005
48.25,0.595,-0.011,0.957,-3.685,-2.026
48.5,0.647,-0.01,0.925,-3.416,-2.047
48.75,0.571,-0.01,0.975,-3.234,-1.986
49.0,0.496,-0.01,1.025,-3.051,-1.924
49.25,0.286,-0.01,0.949,-2.879,-1.603
49.5,0.075,-0.01,0.874,-2.707,-1.283
49.75,-0.074,-0.01,1.021,-2.431,-0.848
50.0,-0.222,-0.01,1.167,-2.155,-0.413
50.25,-0.312,-0.006,1.078,-1.82,-0.061
50.5,-0.403,-0.002,0.989,-1.485,0.291
50.75,-0.306,-0.002,0.909,-1.165,0.36
51.0,-0.21,-0.002,0.829,-0.844,0.43
51.25,-0.131,-0.002,0.708,-0.64,0.424
51.5,-0.052,-0.002,0.586,-0.436,0.419
51.75,0.059,-0.002,0.491,-0.421,0.35
52.0,0.17,-0.002,0.397,-0.407,0.28
52.25,0.288,-0.002,0.336,-0.439,0.359
52.5,0.406,-0.002,0.274,-0.472,0.437
52.75,0.542,-0.002,0.343,-0.408,0.661
53.0,0.677,-0.002,0.411,-0.343,0.886
53.25,0.675,-0.001,0.309,-0.298,1.032
53.5,0.672,0.0,0.207,-0.252,1.179
53.75,0.686,0.0,0.162,-0.111,1.262
54.0,0.7,0.0,0.117,0.029,1.345
54.25,0.715,0.0,-0.013,0.294,1.556
54.5,0.73,0.0,-0.142,0.56,1.766
54.75,0.7,0.0,-0.178,0.955,1.793
55.0,0.67,0.0,-0.214,1.352,1.82
55.25,0.785,0.002,-0.183,1.935,1.786
55.5,0.9,0.004,-0.153,2.518,1.752
55.75,0.994,0.004,-0.193,3.174,1.701
56.0,1.089,0.004,-0.234,3.829,1.65
56.25,1.131,0.004,-0.329,4.581,1.489
56.5,1.172,0.004,-0.423,5.332,1.329
56.75,1.066,0.004,-0.738,5.994,1.317
57.0,0.959,0.004,-1.053,6.657,1.305
57.25,0.908,0.004,-1.184,7.099,1.206
57.5,0.856,0.004,-1.316,7.542,1.107
57.75,0.78,0.004,-1.29,7.648,1.36
58.0,0.705,0.004,-1.265,7.754,1.612
58.25,0.569,0.005,-1.293,7.575,1.621
58.5,0.434,0.007,-1.32,7.397,1.63
58.75,0.398,0.007,-1.338,7.06,1.695
59.0,0.362,0.007,-1.356,6.723,1.76
59.25,0.418,0.007,-1.378,6.359,1.632
59.5,0.473,0.007,-1.4,5.995,1.503
59.75,0.464,0.007,-1.45,5.445,1.278
60.0,0.455,0.007,-1.502,4.896,1.053
60.25,0.585,0.007,-1.355,4.45,0.866
60.5,0.715,0.008,-1.209,4.004,0.679
60.75,0.684,0.008,-0.985,3.514,0.645
61.0,0.653,0.008,-0.761,3.024,0.61
61.25,0.548,0.008,-0.513,2.759,0.478
61.5,0.444,0.008,-0.265,2.495,0.346
61.75,0.249,0.008,-0.267,2.329,0.417
62.0,0.055,0.008,-0.268,2.163,0.488
62.25,-0.145,0.008,-0.164,2.122,0.456
62.5,-0.345,0.008,-0.059,2.082,0.424
62.75,-0.452,0.008,0.144,1.965,0.667
63.0,-0.558,0.008,0.347,1.848,0.91
63.25,-0.623,0.009,0.543,1.589,0.724
63.5,-0.688,0.01,0.739,1.33,0.538
63.75,-0.64,0.01,0.786,0.925,0.555
64.0,-0.592,0.01,0.832,0.52,0.573
64.25,-0.593,0.01,0.93,0.146,0.478
64.5,-0.594,0.01,1.028,-0.227,0.382
64.75,-0.575,0.01,0.977,-0.655,0.092
65.0,-0.555,0.01,0.924,-1.082,-0.198
65.25,-0.608,0.009,1.058,-1.35,-0.303
65.5,-0.661,0.008,1.192,-1.618,-0.408
65.75,-0.872,0.008,1.317,-1.96,-0.449
66.0,-1.082,0.008,1.442,-2.302,-0.49
66.25,-1.204,0.008,1.501,-2.535,-0.287
66.5,-1.325,0.007,1.56,-2.769,-0.084
66.75,-1.515,0.007,1.513,-2.893,0.017
67.0,-1.706,0.007,1.466,-3.017,0.118
67.25,-1.894,0.007,1.452,-3.023,0.129
67.5,-2.082,0.007,1.439,-3.028,0.139
67.75,-2.269,0.007,1.519,-3.041,0.202
68.0,-2.457,0.007,1.599,-3.054,0.266
68.25,-2.475,0.006,1.595,-3.058,0.0
68.5,-2.494,0.005,1.591,-3.062,-0.265
68.75,-2.535,0.005,1.737,-3.104,-0.204
69.0,-2.577,0.005,1.882,-3.145,-0.143
69.25,-2.637,0.005,1.975,-3.191,-0.136
69.5,-2.696,0.005,2.067,-3.236,-0.129
69.75,-2.733,0.005,2.177,-3.209,-0.283
70.0,-2.768,0.005,2.287,-3.182,-0.438
70.25,-2.941,0.004,2.274,-3.103,-0.528
70.5,-3.114,0.003,2.261,-3.024,-0.618
70.75,-3.212,0.003,2.242,-2.851,-0.661
71.0,-3.311,0.003,2.223,-2.679,-0.705
71.25,-3.312,0.002,2.159,-2.578,-0.52
71.5,-3.313,0.0,2.095,-2.477,-0.335
71.75,-3.221,0.0,2.244,-2.322,-0.254
72.0,-3.13,0.0,2.392,-2.168,-0.172
72.25,-2.987,0.0,2.264,-2.048,-0.13
72.5,-2.843,0.0,2.135,-1.928,-0.089
72.75,-2.768,0.0,1.955,-1.777,-0.398
73.0,-2.692,0.0,1.775,-1.626,-0.707
73.25,-2.581,-0.005,1.536,-1.478,-0.709
73.5,-2.469,-0.01,1.296,-1.33,-0.711
73.75,-2.377,-0.01,1.241,-1.124,-0.696
74.0,-2.285,-0.01,1.186,-0.918,-0.681
74.25,-2.16,-0.01,1.008,-0.871,-0.642
74.5,-2.034,-0.01,0.829,-0.824,-0.603
74.75,-1.871,-0.01,0.82,-0.685,-0.478
75.0,-1.707,-0.01,0.809,-0.546,-0.353
75.25,-1.74,-0.01,0.663,-0.566,-0.246
75.5,-1.774,-0.01,0.518,-0.586,-0.139
75.75,-1.704,-0.01,0.335,-0.568,-0.115
76.0,-1.634,-0.01,0.153,-0.549,-0.091
76.25,-1.598,-0.011,0.066,-0.629,-0.038
76.5,-1.563,-0.012,-0.022,-0.71,0.016
76.75,-1.389,-0.012,0.014,-0.831,-0.048
77.0,-1.216,-0.012,0.05,-0.952,-0.112
77.25,-0.967,-0.012,-0.091,-1.038,0.066
77.5,-0.718,-0.012,-0.232,-1.124,0.244
77.75,-0.465,-0.012,-0.516,-0.987,0.102
78.0,-0.213,-0.012,-0.801,-0.851,-0.039
78.25,-0.1,-0.012,-0.966,-0.54,0.196
78.5,0.012,-0.012,-1.131,-0.23,0.43
78.75,0.135,-0.012,-1.336,0.347,0.472
79.0,0.259,-0.012,-1.542,0.923,0.514
79.25,0.407,-0.012,-1.776,1.426,0.598
79.5,0.556,-0.012,-2.011,1.929,0.682
79.75,0.643,-0.012,-2.282,2.457,0.779
80.0,0.732,-0.012,-2.554,2.986,0.876
80.25,0.821,-0.012,-2.686,3.362,1.077
80.5,0.91,-0.012,-2.818,3.739,1.277
80.75,1.041,-0.012,-3.009,4.051,1.173
81.0,1.173,-0.012,-3.201,4.364,1.069
81.25,1.177,-0.011,-3.202,4.462,1.013
81.5,1.181,-0.01,-3.204,4.56,0.958
81.75,1.285,-0.01,-3.099,4.391,0.695
82.0,1.39,-0.01,-2.995,4.222,0.432
82.25,1.445,-0.01,-2.899,3.894,0.392
82.5,1.5,-0.01,-2.803,3.566,0.353
82.75,1.584,-0.01,-2.927,3.149,0.227
83.0,1.668,-0.01,-3.052,2.732,0.102
83.25,1.644,-0.007,-2.901,2.352,0.285
83.5,1.62,-0.005,-2.75,1.973,0.468
83.75,1.587,-0.005,-2.663,1.708,0.371
84.0,1.555,-0.005,-2.577,1.443,0.275
84.25,1.57,-0.005,-2.538,1.288,0.237
84.5,1.586,-0.005,-2.499,1.132,0.199
84.75,1.601,-0.005,-2.532,1.06,0.237
85.0,1.617,-0.005,-2.566,0.988,0.274
85.25,1.77,-0.005,-2.516,1.022,0.25
85.5,1.922,-0.005,-2.466,1.055,0.227
85.75,2.022,-0.005,-2.531,1.165,0.207
86.0,2.122,-0.005,-2.596,1.275,0.186
86.25,2.246,0.0,-2.597,1.4,0.108
86.5,2.37,0.005,-2.597,1.525,0.03
86.75,2.381,0.005,-2.548,1.51,-0.005
87.0,2.392,0.005,-2.5,1.495,-0.04
87.25,2.366,0.005,-2.416,1.405,-0.163
87.5,2.341,0.005,-2.333,1.315,-0.286
87.75,2.412,0.004,-2.138,1.134,-0.275
88.0,2.483,0.003,-1.943,0.953,-0.263
88.25,2.498,0.006,-1.72,0.692,-0.211
88.5,2.514,0.008,-1.497,0.431,-0.158
88.75,2.472,0.008,-1.414,0.132,-0.249
89.0,2.431,0.008,-1.331,-0.167,-0.339
89.25,2.326,0.008,-1.119,-0.459,-0.309
89.5,2.222,0.008,-0.907,-0.751,-0.279
89.75,2.183,0.008,-0.797,-1.013,-0.27
90.0,2.145,0.008,-0.688,-1.275,-0.262
90.25,2.2,0.008,-0.455,-1.433,-0.329
90.5,2.256,0.008,-0.221,-1.591,-0.397
90.75,2.247,0.008,-0.115,-1.662,-0.421
91.0,2.238,0.008,-0.008,-1.732,-0.446
91.25,2.304,0.009,-0.035,-1.657,-0.538
91.5,2.37,0.01,-0.063,-1.582,-0.631
91.75,2.257,0.01,-0.137,-1.433,-0.377
92.0,2.144,0.01,-0.212,-1.284,-0.123
92.25,2.028,0.01,-0.229,-1.154,-0.239
92.5,1.913,0.01,-0.246,-1.025,-0.355
92.75,1.852,0.009,0.038,-0.977,-0.089
93.0,1.792,0.007,0.321,-0.928,0.178
93.25,1.789,0.007,0.427,-1.001,0.053
93.5,1.787,0.007,0.534,-1.073,-0.071
93.75,1.73,0.007,0.633,-1.322,-0.115
94.0,1.673,0.007,0.731,-1.571,-0.16
94.25,1.612,0.006,0.975,-1.89,-0.12
94.5,1.552,0.005,1.219,-2.209,-0.08
94.75,1.538,0.005,1.371,-2.495,-0.125
95.0,1.525,0.005,1.521,-2.78,-0.171
95.25,1.543,0.005,1.586,-3.128,-0.278
95.5,1.56,0.005,1.651,-3.476,-0.385
95.75,1.479,0.005,1.711,-3.797,-0.391
96.0,1.398,0.005,1.77,-4.119,-0.396
96.25,1.327,0.004,1.812,-4.237,-0.371
96.5,1.256,0.003,1.853,-4.356,-0.347
96.75,1.184,0.003,1.847,-4.086,-0.191
97.0,1.113,0.003,1.84,-3.817,-0.036
97.25,1.025,0.003,1.862,-3.393,-0.03
97.5,0.937,0.003,1.884,-2.969,-0.025
97.75,0.777,0.002,1.979,-2.4,0.048
98.0,0.617,0.001,2.074,-1.831,0.122
98.25,0.535,-0.004,1.984,-1.168,0.144
98.5,0.453,-0.009,1.894,-0.506,0.167
98.75,0.464,-0.009,1.832,0.017,0.233
99.0,0.475,-0.009,1.771,0.541,0.299
99.25,0.539,-0.01,1.76,0.989,0.138
99.5,0.603,-0.012,1.749,1.438,-0.023
99.75,0.679,-0.012,1.842,1.812,0.085
100.0,0.756,-0.012,1.935,2.186,0.194
100.25,0.738,-0.012,1.89,2.319,0.243
100.5,0.72,-0.012,1.844,2.452,0.293
100.75,0.629,-0.012,1.949,2.299,0.353
101.0,0.537,-0.012,2.053,2.145,0.413
101.25,0.346,-0.013,2.164,1.748,0.52
101.5,0.155,-0.015,2.276,1.351,0.627
101.75,0.072,-0.015,2.326,1.09,0.633
102.0,-0.011,-0.015,2.376,0.828,0.64
102.25,-0.092,-0.015,2.363,0.541,0.669
102.5,-0.173,-0.015,2.351,0.255,0.698
102.75,-0.358,-0.014,2.217,0.166,0.579
103.0,-0.543,-0.013,2.084,0.077,0.46
103.25,-0.698,-0.013,1.937,0.128,0.433
103.5,-0.853,-0.013,1.79,0.179,0.407
103.75,-0.919,-0.013,1.594,0.302,0.434
104.0,-0.985,-0.013,1.397,0.426,0.461
104.25,-0.981,-0.014,1.145,0.615,0.305
104.5,-0.976,-0.015,0.893,0.805,0.148
104.75,-0.956,-0.015,0.632,1.01,0.14
105.0,-0.934,-0.015,0.37,1.216,0.132
105.25,-0.924,-0.015,0.087,1.449,0.2
105.5,-0.914,-0.015,-0.196,1.682,0.269
105.75,-0.841,-0.015,-0.253,1.808,0.321
106.0,-0.767,-0.015,-0.309,1.934,0.373
106.25,-0.676,-0.016,-0.311,1.912,0.35
106.5,-0.586,-0.017,-0.314,1.89,0.328
106.75,-0.415,-0.017,-0.139,1.725,0.244
107.0,-0.244,-0.017,0.037,1.559,0.16
107.25,-0.222,-0.017,0.129,1.311,0.201
107.5,-0.2,-0.017,0.222,1.064,0.242
107.75,-0.298,-0.012,0.035,0.75,0.097
108.0,-0.395,-0.007,-0.153,0.437,-0.048
108.25,-0.488,-0.004,-0.291,0.181,-0.161
108.5,-0.582,-0.002,-0.429,-0.075,-0.273
108.75,-0.664,-0.002,-0.394,-0.216,-0.291
109.0,-0.746,-0.002,-0.359,-0.357,-0.308
109.25,-0.723,-0.001,-0.522,-0.359,-0.328
109.5,-0.701,0.0,-0.685,-0.362,-0.348
109.75,-0.693,0.0,-0.815,-0.369,-0.456
110.0,-0.683,0.0,-0.946,-0.375,-0.565
110.25,-0.696,0.0,-1.143,-0.252,-0.563
110.5,-0.709,0.0,-1.34,-0.129,-0.561
110.75,-0.623,0.0,-1.496,0.038,-0.579
111.0,-0.538,0.0,-1.653,0.206,-0.598
111.25,-0.368,0.0,-1.816,0.413,-0.76
111.5,-0.199,0.0,-1.98,0.619,-0.922
111.75,0.011,0.0,-2.031,0.656,-0.926
112.0,0.221,0.0,-2.082,0.693,-0.93
112.25,0.422,0.0,-1.922,0.687,-0.88
112.5,0.624,0.0,-1.761,0.681,-0.83
112.75,0.807,0.001,-1.84,0.506,-0.839
113.0,0.991,0.002,-1.919,0.331,-0.849
113.25,1.139,0.004,-1.974,0.017,-0.706
113.5,1.286,0.007,-2.029,-0.297,-0.564
113.75,1.276,0.007,-1.875,-0.625,-0.446
114.0,1.266,0.007,-1.721,-0.954,-0.329
114.25,1.116,0.012,-1.537,-1.242,-0.258
114.5,0.966,0.017,-1.353,-1.53,-0.188
114.75,0.802,0.017,-1.136,-1.889,-0.207
115.0,0.639,0.017,-0.919,-2.248,-0.226
115.25,0.505,0.017,-0.744,-2.474,-0.211
115.5,0.372,0.017,-0.569,-2.701,-0.195
115.75,0.44,0.017,-0.466,-2.553,-0.203
116.0,0.509,0.017,-0.363,-2.405,-0.211
116.25,0.596,0.017,-0.295,-2.01,-0.285
116.5,0.684,0.017,-0.228,-1.615,-0.359
116.75,0.628,0.017,-0.381,-1.197,-0.341
117.0,0.571,0.017,-0.535,-0.78,-0.323
117.25,0.585,0.017,-0.524,-0.321,-0.343
117.5,0.598,0.017,-0.512,0.138,-0.363
117.75,0.732,0.016,-0.491,0.567,-0.325
118.0,0.866,0.015,-0.47,0.995,-0.287
118.25,0.95,0.015,-0.4,1.25,-0.143
118.5,1.033,0.014,-0.331,1.505,0.0
118.75,1.027,0.014,-0.262,1.627,0.176
119.0,1.02,0.014,-0.193,1.748,0.351
119.25,0.903,0.015,0.069,1.678,0.612
119.5,0.785,0.016,0.33,1.609,0.873
119.75,0.725,0.016,0.501,1.35,0.945
120.0,0.665,0.016,0.671,1.091,1.016
120.25,0.642,0.016,0.875,0.724,1.032
120.5,0.618,0.016,1.079,0.358,1.047
120.75,0.616,0.016,1.207,0.077,1.147
121.0,0.613,0.016,1.334,-0.205,1.246
121.25,0.559,0.016,1.364,-0.307,1.309
121.5,0.506,0.016,1.394,-0.41,1.372
121.75,0.249,0.016,1.284,-0.461,1.273
122.0,-0.009,0.016,1.175,-0.511,1.173
122.25,-0.129,0.016,1.089,-0.37,1.229
122.5,-0.249,0.016,1.004,-0.229,1.284
122.75,-0.247,0.015,1.121,0.007,1.327
123.0,-0.246,0.013,1.238,0.244,1.37
123.25,-0.289,0.008,1.301,0.476,1.217
123.5,-0.332,0.004,1.363,0.708,1.064
123.75,-0.348,0.004,1.218,0.907,0.998
124.0,-0.365,0.004,1.072,1.106,0.932
124.25,-0.402,0.002,1.095,1.222,0.918
124.5,-0.439,0.001,1.119,1.339,0.905
124.75,-0.456,0.001,1.16,1.354,0.886
125.0,-0.471,0.001,1.2,1.369,0.866
125.25,-0.496,0.001,1.269,1.216,0.89
125.5,-0.52,0.001,1.339,1.063,0.913
125.75,-0.564,0.001,1.4,0.809,0.913
126.0,-0.607,0.001,1.462,0.555,0.913
126.25,-0.621,0.001,1.479,0.23,1.078
126.5,-0.635,0.001,1.496,-0.094,1.242
126.75,-0.735,0.001,1.552,-0.472,1.136
127.0,-0.835,0.001,1.607,-0.849,1.03
127.25,-0.839,0.001,1.4,-1.127,0.959
127.5,-0.842,0.001,1.193,-1.405,0.887
127.75,-0.936,0.001,1.338,-1.604,0.794
128.0,-1.03,0.0,1.483,-1.803,0.701
128.25,-1.094,-0.001,1.43,-1.78,0.552
128.5,-1.159,-0.002,1.377,-1.758,0.402
128.75,-1.123,-0.002,1.206,-1.705,0.217
129.0,-1.087,-0.002,1.035,-1.651,0.032
129.25,-0.946,-0.004,0.85,-1.484,-0.103
129.5,-0.806,-0.005,0.665,-1.317,-0.237
129.75,-0.806,-0.005,0.557,-1.074,-0.286
130.0,-0.806,-0.005,0.448,-0.83,-0.336
130.25,-0.821,-0.005,0.379,-0.562,-0.347
130.5,-0.836,-0.005,0.311,-0.293,-0.359
130.75,-0.825,-0.005,0.109,-0.079,-0.377
131.0,-0.814,-0.005,-0.093,0.134,-0.395
131.25,-0.784,-0.005,-0.243,0.167,-0.282
131.5,-0.754,-0.005,-0.392,0.2,-0.17
